"","BH1","BH2","BH3","Serum1","Serum2","Serum3"
"AENJPLPP_00001",15.499622312902,22.4860554488566,22.2724657914494,97.524615122459,79.8947298106968,79.8349759060385
"AENJPLPP_00003",27.5548841118257,27.304495902183,26.1125461003199,49.5616896523972,62.1403454083197,55.0214023136211
"AENJPLPP_00004",6.88872102795643,6.42458727110189,6.91214455596705,3.19752836467079,3.94541875608379,2.15770205151455
"AENJPLPP_00005",4.30545064247277,5.62151386221415,6.14412849419293,11.1913492763478,5.91812813412569,9.7096592318155
"AENJPLPP_00006",6.02763089946188,8.03073408887736,9.98420880306351,12.7901134586831,8.87719220118853,9.7096592318155
"AENJPLPP_00007",6.88872102795643,13.6522479510915,19.968417606127,11.1913492763478,23.6725125365027,15.1039143606019
"AENJPLPP_00008",5.16654077096733,3.21229363555094,6.14412849419293,4.79629254700618,5.91812813412569,4.31540410302911
"AENJPLPP_00009",40.471236039244,42.56289067105,29.1846103474164,65.5493314757511,70.0311829204873,92.7811882151258
"AENJPLPP_00010",55.970858352146,75.4889004354472,82.9457346716045,89.530794210782,119.348917371535,128.383272065116
"AENJPLPP_00011",11.1941716704292,9.63688090665283,13.05627305016,17.5864060056893,8.87719220118853,12.9462123090873
"AENJPLPP_00012",8.61090128494554,6.42458727110189,8.44817667951528,17.5864060056893,16.7680297133561,14.0250633348446
"AENJPLPP_00013",19.8050729553747,22.4860554488566,16.8963533590306,20.7839343703601,12.8226109572723,19.419318463631
"AENJPLPP_00014",43.9155965532223,40.1536704443868,45.3129476446729,62.3518031110803,47.3450250730055,34.5232328242329
"AENJPLPP_00015",37.8879656537604,36.1383033999481,36.0967549033835,49.5616896523972,62.1403454083197,49.6271471848347
"AENJPLPP_00016",118.830437732248,114.036424062059,166.659485404983,142.29001222785,173.598425267687,163.985355915106
"AENJPLPP_00017",2.58327038548366,4.01536704443868,3.07206424709646,1.59876418233539,0,0
"AENJPLPP_00018",0.861090128494554,0.803073408887736,2.30404818532235,1.59876418233539,4.93177344510474,5.39425512878639
"AENJPLPP_00019",0,0,0,0,0,0
"AENJPLPP_00020",0,0,0,0,0,0
"AENJPLPP_00021",174.801296084394,202.374499039709,215.044497296752,222.22822134462,173.598425267687,153.196845657533
"AENJPLPP_00022",0,1.60614681777547,3.07206424709646,15.9876418233539,12.8226109572723,14.0250633348446
"AENJPLPP_00023",0.861090128494554,0,0,1.59876418233539,0.986354689020948,2.15770205151455
"AENJPLPP_00024",3.44436051397822,0.803073408887736,1.53603212354823,11.1913492763478,9.86354689020948,11.86736128333
"AENJPLPP_00025",27.5548841118257,20.8799086310811,27.6485782238682,25.5802269173663,27.6179312925865,21.5770205151455
"AENJPLPP_00026",22.3883433408584,16.0614681777547,14.5923051737082,55.9567463817388,46.3586703839845,48.5482961590775
"AENJPLPP_00027",1.72218025698911,4.01536704443868,3.07206424709646,4.79629254700618,6.90448282314663,3.23655307727183
"AENJPLPP_00028",0.861090128494554,0.803073408887736,0,0,0.986354689020948,0
"AENJPLPP_00029",0,0.803073408887736,0.768016061774116,3.19752836467079,1.9727093780419,2.15770205151455
"AENJPLPP_00030",0.861090128494554,0.803073408887736,3.07206424709646,0,0.986354689020948,0
"AENJPLPP_00031",25.8327038548366,24.8952756755198,22.2724657914494,47.9629254700618,47.3450250730055,38.838636927262
"AENJPLPP_00032",21.5272532123639,24.8952756755198,21.5044497296753,52.759218017068,72.9902469875501,65.8099125711939
"AENJPLPP_00034",13.7774420559129,10.4399543155406,16.8963533590306,11.1913492763478,8.87719220118853,10.7885102575728
"AENJPLPP_00035",18.0828926983856,14.4553213599792,15.3603212354823,51.1604538347326,47.3450250730055,44.2328920560484
"AENJPLPP_00036",6.88872102795643,9.63688090665283,10.7522248648376,6.39505672934157,10.8499015792304,7.55195718030094
"AENJPLPP_00037",1.72218025698911,3.21229363555094,3.07206424709646,4.79629254700618,4.93177344510474,4.31540410302911
"AENJPLPP_00038",1.72218025698911,4.01536704443868,6.14412849419293,6.39505672934157,7.89083751216758,8.63080820605822
"AENJPLPP_00039",1.72218025698911,1.60614681777547,0,4.79629254700618,3.94541875608379,3.23655307727183
"AENJPLPP_00040",0.861090128494554,0,0,4.79629254700618,2.95906406706284,2.15770205151455
"AENJPLPP_00041",0,0.803073408887736,0,0,0.986354689020948,1.07885102575728
"AENJPLPP_00042",37.8879656537604,33.7290831732849,37.6327870269317,105.518436034136,77.9220204326549,91.7023371893686
"AENJPLPP_00043",453.79449771663,464.176430337111,403.208432431411,3701.13908210644,2638.49879313104,2569.82314335383
"AENJPLPP_00044",25.8327038548366,21.6829820399689,23.8084979149976,62.3518031110803,79.8947298106968,84.1503800090676
"AENJPLPP_00045",6.88872102795643,6.42458727110189,9.21619274128939,12.7901134586831,22.6861578474818,25.8924246181747
"AENJPLPP_00046",3.44436051397822,4.01536704443868,2.30404818532235,6.39505672934157,13.8089656462933,11.86736128333
"AENJPLPP_00047",6.02763089946188,5.62151386221415,6.14412849419293,15.9876418233539,28.6042859816075,19.419318463631
"AENJPLPP_00048",1.72218025698911,0.803073408887736,1.53603212354823,1.59876418233539,0.986354689020948,2.15770205151455
"AENJPLPP_00049",0,0,1.53603212354823,0,1.9727093780419,2.15770205151455
"AENJPLPP_00050",0,0.803073408887736,0,3.19752836467079,2.95906406706284,2.15770205151455
